Symbol,Date,Multiplier
JSWSTEEL,20170104,10
JTEKTINDIA,20040824,5
JTEKTINDIA,20060914,2
JTEKTINDIA,20080902,2
JUBILANT,20021112,2
JUBILANT,20040312,1.6
JUBILANT,20060317,5
JUBLFOOD,20180621,2
JVLAGRO,20101109,10
JYOTHYLAB,20081212,5
JYOTHYLAB,20120712,2
JYOTISTRUC,20060728,5
KABRAEXTRU,20040119,2
KABRAEXTRU,20100517,2
KABRAEXTRU,20100906,2
KAJARIACER,20051019,5
KAJARIACER,20161004,2
KALPATPOWR,20060413,2
KALPATPOWR,20100908,5
KANANIIND,20080724,2
KANANIIND,20090820,3
KANANIIND,20091222,2
KANANIIND,20121101,5
KANANIIND,20130201,1.1
KANORICHEM,20071231,3
KANSAINER,20040813,1.67
KANSAINER,20100623,2
KANSAINER,20150326,10
KARUNACAB,20051027,5
KARURVYSYA,20021021,2
KARURVYSYA,20060719,2
KARURVYSYA,20100916,1.4
KARURVYSYA,20161117,5
KCP,20100902,10
KCPSUGIND,20060308,10
KEC,20101230,5
KEDIADIST,19950106,2
KEI,20061221,5
KELLTONTEC,20180327,2
KERALACHEM,19970929,2
KERALACHEM,20130619,1.33
KERNEX,20071016,1.1
KGL,20070424,2
KGL,20080404,10
KHAITANELE,19991115,1.4
KHANDSE,20000403,2
KIRLOSBROS,19961223,1.5
KIRLOSBROS,20050810,5
KIRLOSBROS,20051017,3
KIRLOSIND,20050810,5
KIRLOSIND,20071025,2
KITEX,20051107,10
KITEX,20170622,1.4
KKPIT,20050303,2
KKPIT,20070104,2
KKPIT,20120313,2
KLGSYSTEL,20060127,2
KMSUGAR,20100326,5
KNRCON,20161213,5
KOHINOOR,19971020,1.4
KOKUYOCMLN,20020926,2
KOKUYOCMLN,20080822,10
KOTAKBANK,20040825,2
KOTAKBANK,20050825,2.5
KOTAKBANK,20100913,2
KOTAKBANK,20150708,2
KOTHARIPRO,20140328,3
KOTHARIPRO,20160105,1.5
KPIT,20070104,2.5
KPRMILL,20161129,2
KRBL,20100210,10
KRIDHANINF,20141027,5
KRITIIND,20071213,10
KSBPUMPS,19960219,2
KSBPUMPS,20110418,2
KSCL,20140127,5
KSERASERA,20150330,10
KSOILS,20060908,2
KSOILS,20070718,10
KTIL,20160811,2.08
KTKBANK,20021025,2
KWALITY,20091210,10
KWALITY,20100615,1.71
LAKSHMIEFL,20000327,2
LAKSHMIEFL,20061215,5
LAKSHVILAS,20061117,1.5
LAMBODHARA,20151015,2
LAOPALA,20060925,2
LAOPALA,20140924,5
LAOPALA,20180322,2
LAXMIMACH,19971020,2
LAXMIMACH,20061213,10
LCCINFOTEC,20050314,5
LFIC,19951218,1.5
LFIC,19960101,10
LGBBROSLTD,20031209,20
LGBBROSLTD,20100315,0.1
LGBBROSLTD,20140704,2
LGBBROSLTD,20180614,2
LIBERTSHOE,20051013,2
LICHSGFIN,20101230,5
LINCOLN,20060208,5
LINCOLN,20090319,0.2
LITL,20100104,10
LLOYDFIN,19951023,1.5
LLOYDMETAL,19950113,2
LLOYDMETAL,20071019,5
LLOYDMETAL,20160726,2
LT,20060928,2
LT,20081001,2
LT,20130711,1.5
LT,20170713,1.5
LUMAXTECH,20180607,5
LUPIN,20060811,2
LUPIN,20100827,5
LUXIND,20160606,5
