Index,Symbol
Nifty Bank,HDFCBANK
Nifty Bank,FEDERALBNK
Nifty Bank,AXISBANK
Nifty Bank,BANDHANBNK
Nifty Bank,RBLBANK
Nifty Bank,ICICIBANK
Nifty Bank,IDFCFIRSTB
Nifty Bank,SBIN
Nifty Bank,BANKBARODA
Nifty Bank,PNB
Nifty Bank,KOTAKBANK
Nifty Energy,BPCL
Nifty Energy,TATAPOWER
Nifty Energy,IOC
Nifty Energy,HINDPETRO
Nifty Energy,ADANITRANS
Nifty Energy,ONGC
Nifty Energy,GAIL
Nifty Energy,RELIANCE
Nifty Energy,NTPC
Nifty Energy,POWERGRID
Nifty Financial Services,HDFCBANK
Nifty Financial Services,SRTRANSFIN
Nifty Financial Services,BAJAJHLDNG
Nifty Financial Services,HDFCAMC
Nifty Financial Services,AXISBANK
Nifty Financial Services,HDFCLIFE
Nifty Financial Services,PEL
Nifty Financial Services,PFC
Nifty Financial Services,ICICIBANK
Nifty Financial Services,SBILIFE
Nifty Financial Services,SBIN
Nifty Financial Services,HDFC
Nifty Financial Services,BAJAJFINSV
Nifty Financial Services,ICICIGI
Nifty Financial Services,M&MFIN
Nifty Financial Services,ICICIPRULI
Nifty Financial Services,RECLTD
Nifty Financial Services,CHOLAFIN
Nifty Financial Services,KOTAKBANK
Nifty Financial Services,BAJFINANCE
Nifty FMCG,PGHH
Nifty FMCG,GODREJCP
Nifty FMCG,MARICO
Nifty FMCG,EMAMILTD
Nifty FMCG,TATACONSUM
Nifty FMCG,DABUR
Nifty FMCG,BRITANNIA
Nifty FMCG,COLPAL
Nifty FMCG,NESTLEIND
Nifty FMCG,JUBLFOOD
Nifty FMCG,HINDUNILVR
Nifty FMCG,MCDOWELL-N
Nifty FMCG,VBL
Nifty FMCG,UBL
Nifty FMCG,ITC
Nifty IT,INFY
Nifty IT,NIITTECH
Nifty IT,TCS
Nifty IT,MINDTREE
Nifty IT,WIPRO
Nifty IT,MPHASIS
Nifty IT,LTI
Nifty IT,HCLTECH
Nifty IT,TECHM
Nifty IT,NAUKRI
Nifty Media,HATHWAY
Nifty Media,ZEEL
Nifty Media,DBCORP
Nifty Media,SUNTV
Nifty Media,TV18BRDCST
Nifty Media,TVTODAY
Nifty Media,JAGRAN
Nifty Media,INOXLEISUR
Nifty Media,PVR
Nifty Media,DISHTV
Nifty Metal,HINDZINC
Nifty Metal,HINDALCO
Nifty Metal,JINDALSTEL
Nifty Metal,COALINDIA
Nifty Metal,TATASTEEL
Nifty Metal,NMDC
Nifty Metal,JSWSTEEL
Nifty Metal,HINDCOPPER
Nifty Metal,SAIL
Nifty Metal,MIDHANI
Nifty Metal,WELCORP
Nifty Metal,RATNAMANI
Nifty Metal,MOIL
Nifty Metal,NATIONALUM
Nifty Metal,APLAPOLLO
Nifty Pharma,DIVISLAB
Nifty Pharma,CADILAHC
Nifty Pharma,CIPLA
Nifty Pharma,ALKEM
Nifty Pharma,DRREDDY
Nifty Pharma,BIOCON
Nifty Pharma,LUPIN
Nifty Pharma,AUROPHARMA
Nifty Pharma,TORNTPHARM
Nifty Pharma,SUNPHARMA
Nifty PSU Bank,UCOBANK
Nifty PSU Bank,CENTRALBK
Nifty PSU Bank,IOB
Nifty PSU Bank,MAHABANK
Nifty PSU Bank,BANKINDIA
Nifty PSU Bank,INDIANB
Nifty PSU Bank,UNIONBANK
Nifty PSU Bank,CANBK
Nifty PSU Bank,SBIN
Nifty PSU Bank,BANKBARODA
Nifty PSU Bank,J&KBANK
Nifty PSU Bank,PNB
Nifty Realty,PHOENIXLTD
Nifty Realty,PRESTIGE
Nifty Realty,OMAXE
Nifty Realty,SOBHA
Nifty Realty,BRIGADE
Nifty Realty,GODREJPROP
Nifty Realty,IBREALEST
Nifty Realty,DLF
Nifty Realty,OBEROIRLTY
Nifty Realty,SUNTECK
Nifty Commodities,BPCL
Nifty Commodities,TATAPOWER
Nifty Commodities,HINDZINC
Nifty Commodities,IOC
Nifty Commodities,HINDPETRO
Nifty Commodities,OIL
Nifty Commodities,ACC
Nifty Commodities,NHPC
Nifty Commodities,ONGC
Nifty Commodities,HINDALCO
Nifty Commodities,SHREECEM
Nifty Commodities,JINDALSTEL
Nifty Commodities,RELIANCE
Nifty Commodities,ULTRACEMCO
Nifty Commodities,RAMCOCEM
Nifty Commodities,GRASIM
Nifty Commodities,COALINDIA
Nifty Commodities,NTPC
Nifty Commodities,AMBUJACEM
Nifty Commodities,PIDILITIND
Nifty Commodities,TATASTEEL
Nifty Commodities,PIIND
Nifty Commodities,ATUL
Nifty Commodities,NMDC
